="",="(1)",="(2)",="(3)",="(4)",="(5)"
="Mom × Post1975",="0.038",="0.039",="0.024",="0.025",="0.035"
="",="(0.006)",="(0.006)",="(0.007)",="(0.007)",="(0.006)"
="Method",="LOGIT",="LOGIT",="LOGIT",="LOGIT",="OLS"
="Observations",="570337",="570337",="570337",="570337",="570337"
="State & year FE",="",="Yes",="Yes",="Yes",="Yes"
="Demographics",="",="",="Yes",="Yes",="Yes"
="Kitchen-sink",="",="",="",="",="Yes"
="Average marginal effects reported (logit/probit)."
="Robust standard errors clustered by state in parentheses."
="All regressions weighted using CPS ASEC sample weights."
="Kitchen-sink model includes all demographic, interaction, and state–year fixed effects."
